SPEC,LONG,LAT
Trufum,-82.11,29.943889
Trufum,-82.380341,29.620661
Trufum,-82.04982,29.70944
Trufum,-82.59765,29.826149
Trufum,-82.324821,29.651646
Trufum,-76.741578,39.223794
Trufum,-76.167719,39.168284
Trufum,-76.54654,39.417309
Trufum,-76.618487,39.296469
Trufum,-76.713622,39.669022
Trufum,-76.829501,39.216353
Trufum,-76.861584,39.239474
Trufum,-76.653078,39.320402
Trufum,-76.618518,39.283968
Trufum,-76.0174,39.0587
Trufum,-95.86639,41.43059
Trufum,-87.6594,41.5558
Trufum,-74.531681,40.700491
Trufum,-77.644775,37.494562
Trufum,-77.514489,37.539677
Trufum,-105.86667,46.40917
Trufum,-81.194478,28.534773
Trufum,-82.43923,34.929442
Trufum,-82.119064,27.024576
Trufum,-86.158432,39.76909
Trufum,-86.160133,39.361072
Trufum,-86.301315,39.877548
Trufum,-86.4658,39.0936
Trufum,-86.57643,39.13411
Trufum,-86.6105,39.2052
Trufum,-92.58686,34.56449
Trufum,-86.288994,39.890217
Trufum,-86.3822,39.8597
Trufum,-86.26509,39.213406
Trufum,-86.5666,34.72814
Trufum,-86.30611,34.336475
Trufum,-86.56969,34.47199
Trufum,-86.98298,34.58948
Trufum,-86.070479,34.700995
Trufum,-86.965407,34.633338
Trufum,-86.196602,34.672745
Trufum,-86.542661,34.608112
Trufum,-86.05489,34.02631
Trufum,-86.013725,34.006645
Trufum,-80.19995,36.11126
Trufum,-76.170105,38.686317
Trufum,-80.896347,34.161916
Trufum,-95.22478,33.18239
Trufum,-86.797386,35.449524
Trufum,-87.56752,38.35535
Trufum,-87.61684,38.02283
Trufum,-87.27421,38.04925
Trufum,-87.360232,38.384967
Trufum,-87.5259,38.0814
Trufum,-87.56833,38.352997
Trufum,-84.218986,34.07534
Trufum,-84.10015,34.21221
Trufum,-84.55213,34.31649
Trufum,-89.781732,35.267835
Trufum,-89.760523,35.198761
Trufum,-89.922,35.3456
Trufum,-89.8658,35.1826
Trufum,-89.191386,35.908663
Trufum,-89.760499,35.198715
Trufum,-89.760503,35.19872
Trufum,-89.272024,35.025426
Trufum,-89.760444,35.198688
Trufum,-89.760626,35.198418
Trufum,-84.15681,33.05635
Trufum,-84.370233,33.789905
Trufum,-84.369566,33.790094
Trufum,-84.32171,33.826733
Trufum,-76.847588,37.834497
Trufum,-82.605332,28.632447
Trufum,-102.535164,37.635535
Trufum,-80.843333,35.226944
Trufum,-75.913698,44.325019
Trufum,-95.1492,29.8358
Trufum,-82.554047,35.60091
Trufum,-80.46351,25.55627
Trufum,-82.44673,29.38745
Trufum,-78.83363,35.65125
Trufum,-77.73892,39.3254
Trufum,-85.5003,44.2503
Trufum,-83.10598,33.67153
Trufum,-96.8519,33.04855
Trufum,-83.9759,34.10138
Trufum,-80.00679,32.7988
Trufum,-83.79104,34.478096
Trufum,-80.748664,32.677351
Trufum,-83.52522,34.689247
Trufum,-77.423544,38.881451
Trufum,-86.191505,43.086781
Trufum,-76.699997,38.383335
Trufum,-87.611721,41.852812
Trufum,-90.023429,40.268132
Trufum,-90.051231,40.274983
Trufum,-90.153122,40.396843
Trufum,-90.67688,40.452801
